#IDX 	 Time Lapse 	 LOAD->SEG 	 SEG->EXTRACT 	 EXTRACT->VEC 	 VEC->RANK 	 RANK->OUT 	 Service Time 
309	344.144	823794.062	2109156.875	1225123.375	1225123.375	36.938	5795594.375
310	345.168	2070674.222	1201384.722	1533982.278	1533982.278	39.444	6069624.556
311	346.325	1264292.952	1501123.048	1247519.762	1247519.762	41.524	5123706.238
312	347.355	1493247.500	1267880.688	1079281.188	1079281.188	36.875	5165813.125
313	348.554	1391557.867	1081256.533	1155708.067	1155708.067	45.800	5096857.133
314	349.717	1106820.625	1038294.625	1414470.125	1414470.125	39.500	5444155.000
315	351.507	1077568.733	1209880.933	1403411.933	1403411.933	34.067	5887999.333
316	352.531	1045655.200	1461057.000	1836201.600	1836201.600	47.400	7444943.800
317	353.800	1174615.917	1358040.333	2111115.083	2111115.083	32.583	7621219.833
318	354.832	1423627.455	1817270.273	2641346.545	2641346.545	47.545	8371127.091
319	355.882	1463845.467	2233526.133	2820568.667	2820568.667	39.667	8603169.200
320	356.901	2064227.000	2897551.000	2063892.364	2063892.364	935.909	8714796.818
321	357.948	2642502.864	2376687.727	1727533.864	1727533.864	8.500	8021886.000
322	359.001	2496290.500	1732413.000	1515889.600	1515889.600	8.000	6973687.500
323	360.044	2077591.000	1553324.500	954149.214	954149.214	9.429	6232854.214
324	361.155	1643576.923	1233890.692	1356536.462	1356536.462	8.154	5858292.462
325	362.430	1369063.938	1139680.938	1581915.250	1581915.250	19.500	5716296.000
326	363.536	1073319.600	1568644.850	1559114.550	1559114.550	43.650	5790088.400
327	364.573	1567152.263	1562288.474	1548778.263	1548778.263	47.632	5857067.632
328	365.642	1633392.143	1500995.786	1143931.143	1143931.143	49.000	5586320.429
329	366.699	1494028.909	1441594.182	1100803.273	1100803.273	41.636	5714726.273
330	367.705	1451501.727	1105442.545	1328482.545	1328482.545	58.273	5883302.727
331	368.771	1247297.222	1209195.111	1773212.444	1773212.444	48.778	5734510.889
332	369.827	1185785.421	1718434.105	1509824.895	1509824.895	51.474	5624667.316
333	370.932	1697156.050	1524436.500	1156018.600	1156018.600	45.950	5569861.900
334	371.943	1544493.526	1146508.789	1143278.316	1143278.316	46.211	4996992.000
335	373.015	1144981.818	1141230.455	1105589.273	1105589.273	49.636	4387414.455
336	374.095	1112652.417	1079554.167	941147.750	941147.750	40.000	4503082.083
337	375.147	1091925.154	1096646.923	979275.385	979275.385	37.846	4831156.462
